feature,importance
sys_mod_count,0.14512169603831696
location,0.12636523142588793
opened_hour,0.12502033400601478
subcategory,0.12279099886253059
assignment_group,0.11087684678417206
category,0.10302151446220148
opened_day_of_week,0.08597111152308745
reassignment_count,0.0660910406413697
opened_month,0.06183722260322775
is_business_hours,0.018466272415470192
urgency_level,0.010441536287571362
impact_level,0.010195798750139295
is_weekend,0.005889653631458717
reopen_count,0.005887201657021668
contact_type,0.002023540911530116
